Calendar_Year,Agriculture Year,Agriculture_Year_Anchor,Coconut_Area_Hectare,Coconut_Production_MillionUnit,Coconut_Productivity_DeclaredMillionUnit_per_Hectare,Coconut_Productivity_Unit,Coconut_Productivity_Formula
2008,2008-09,start,787769,5802,0.007365103221883573,declared million unit per hectare,Production Million Unit / Area Hectare
2009,2009-10,start,778618,5667,0.0072782802349804394,declared million unit per hectare,Production Million Unit / Area Hectare
2010,2010-11,start,770473,5287,0.006862018526281907,declared million unit per hectare,Production Million Unit / Area Hectare
2011,2011-12,start,820867,5941,0.007237469650990964,declared million unit per hectare,Production Million Unit / Area Hectare
2012,2012-13,start,798162,5799,0.007265442353807873,declared million unit per hectare,Production Million Unit / Area Hectare
2013,2013-14,start,808647,5921,0.00732210717408214,declared million unit per hectare,Production Million Unit / Area Hectare
2014,2014-15,start,793856,5947,0.007491283053853596,declared million unit per hectare,Production Million Unit / Area Hectare
2015,2015-16,start,790223,5873,0.007432079299134548,declared million unit per hectare,Production Million Unit / Area Hectare
2016,2016-17,start,781496,5384,0.006889350681257486,declared million unit per hectare,Production Million Unit / Area Hectare
2017,2017-18,start,760443,5230,0.006877570047985187,declared million unit per hectare,Production Million Unit / Area Hectare
2018,2018-19,start,760946,5299,0.0069637004465494265,declared million unit per hectare,Production Million Unit / Area Hectare
2019,2019-20,start,760776,4814,0.006327749560974584,declared million unit per hectare,Production Million Unit / Area Hectare
2020,2020-21,start,768809,4788,0.006227814710805935,declared million unit per hectare,Production Million Unit / Area Hectare
2021,2021-22,start,765435,5535,0.007231182268905916,declared million unit per hectare,Production Million Unit / Area Hectare
